nba_id,year,player_name,GamesPlayed,Minutes,Pos2,TeamAbbreviation,playoffs,TS_pct,d_Points_Per100,d_Points_PerGame,rTSPct,d_Points_Created_Per100,d_Points_Created_PerGame,dpm,o_dpm,d_Assists_Per100,d_Assists_PerGame,d_dpm,netrtg_on_off,PASSING_on-ball-time%,SFC_pct,playtype_diff,pt_adj_rTS
56,2001,Gary Payton,79,3244,PG,SEA,0,0.518,29.38,23.076,0.019,52.184,40.987,2.43,3.04,10.346,8.127,-0.6,-2.397,,,,
121,2001,Patrick Ewing,79,2102,C,SEA,0,0.476,18.938,9.62,-4.241,24.171,12.278,-2.36,-3.02,2.293,1.165,0.65,-8.336,,,,
165,2001,Hakeem Olajuwon,58,1543,C,HOU,0,0.522,23.443,11.879,0.397,28.921,14.655,1.82,-1.02,2.45,1.241,2.84,-0.539,,,,
252,2001,Karl Malone,81,2891,PF,UTA,0,0.569,34.32,23.185,5.067,48.501,32.765,4.17,4.14,6.597,4.457,0.03,6.38,,,,
304,2001,John Stockton,82,2395,PG,UTA,0,0.592,20.756,11.512,7.363,53.76,29.817,5.95,3.97,15.677,8.695,1.99,19.396,,,,
397,2001,Reggie Miller,81,3183,SG,IND,0,0.565,25.677,18.852,4.665,35.043,25.728,0.85,3.07,4.372,3.21,-2.22,1.809,,,,
406,2001,Shaquille O'Neal,74,2922,C,LAL,0,0.574,38.144,28.716,5.601,49.704,37.419,7.99,4.9,4.972,3.743,3.08,17.194,,,,
467,2001,Jason Kidd,77,3067,PG,PHX,0,0.501,21.788,16.87,-1.737,48.692,37.701,3.22,1.2,12.63,9.779,2.02,-0.595,,,,
708,2001,Kevin Garnett,81,3203,PF,MIN,0,0.529,29.165,22.025,1.098,43.436,32.802,5.07,3.16,6.556,4.951,1.91,9.928,,,,
764,2001,David Robinson,80,2371,C,SAS,0,0.552,25.888,14.388,3.445,31.736,17.638,4.93,0.98,2.609,1.45,3.94,8.968,,,,
937,2001,Scottie Pippen,64,2131,SF,POR,0,0.538,18.052,11.266,2.006,33.801,21.094,1.77,1.0,7.361,4.594,0.78,2.304,,,,
947,2001,Allen Iverson,71,2976,SG,PHI,0,0.511,38.429,31.085,-0.685,50.548,40.887,2.95,3.91,5.659,4.577,-0.96,5.286,,,,
951,2001,Ray Allen,82,3131,SG,MIL,0,0.605,29.748,22.024,8.676,43.683,32.341,3.85,4.75,6.16,4.561,-0.9,6.778,,,,
959,2001,Steve Nash,70,2387,PG,DAL,0,0.589,23.323,15.6,7.05,47.501,31.771,2.18,2.93,10.871,7.271,-0.75,6.55,,,,
977,2001,Kobe Bryant,68,2791,SG,LAL,0,0.549,36.056,28.5,3.071,49.73,39.309,3.16,4.22,6.288,4.971,-1.06,10.111,,,,
1495,2001,Tim Duncan,82,3174,PF,SAS,0,0.532,30.64,22.195,1.385,39.966,28.951,7.62,3.44,4.125,2.988,4.18,13.629,,,,
1503,2001,Tracy McGrady,77,3094,SG,ORL,0,0.519,34.48,26.818,0.137,47.621,37.039,3.33,3.45,5.877,4.571,-0.13,14.961,,,,
1713,2001,Vince Carter,75,2980,SF,TOR,0,0.546,36.521,27.6,2.762,47.477,35.88,5.1,4.94,5.134,3.88,0.16,11.659,,,,
1717,2001,Dirk Nowitzki,82,3123,PF,DAL,0,0.601,29.246,21.756,8.35,35.59,26.476,4.07,3.44,2.836,2.11,0.63,18.26,,,,
1718,2001,Paul Pierce,82,3124,SF,BOS,0,0.561,34.373,25.256,4.282,44.133,32.427,3.75,3.46,4.199,3.085,0.28,3.521,,,,
56,2002,Gary Payton,82,3297,PG,SEA,0,0.523,29.464,22.134,0.311,56.51,42.451,2.65,3.13,11.964,8.988,-0.48,0.003,,,,
121,2002,Patrick Ewing,65,899,C,ORL,0,0.495,22.556,6.0,-2.508,27.415,7.292,-3.1,-3.36,2.024,0.538,0.26,-3.905,,,,
165,2002,Hakeem Olajuwon,61,1375,C,TOR,0,0.478,17.066,7.131,-4.198,22.872,9.557,-0.41,-3.04,2.589,1.082,2.63,2.211,,,,
252,2002,Karl Malone,80,3038,PF,UTA,0,0.526,31.042,22.35,0.583,43.368,31.225,2.08,1.9,5.92,4.262,0.18,-0.907,,,,
304,2002,John Stockton,82,2570,PG,UTA,0,0.587,22.652,13.439,6.716,51.799,30.732,4.64,2.88,13.854,8.22,1.76,6.682,,,,
397,2002,Reggie Miller,79,2891,SG,IND,0,0.607,23.336,16.506,8.69,32.91,23.278,0.74,3.0,4.528,3.203,-2.26,-3.344,,,,
406,2002,Shaquille O'Neal,67,2421,C,LAL,0,0.594,39.023,27.194,7.387,48.576,33.851,7.88,4.81,4.284,2.985,3.07,10.646,,,,
467,2002,Jason Kidd,82,3056,PG,NJN,0,0.478,20.309,14.732,-4.201,49.613,35.988,4.39,2.49,13.584,9.854,1.9,5.934,,,,
708,2002,Kevin Garnett,81,3172,PF,MIN,0,0.533,28.581,21.16,1.296,43.655,32.321,5.77,3.44,7.037,5.21,2.33,10.397,,,,
764,2002,David Robinson,78,2305,C,SAS,0,0.557,22.07,12.192,3.744,26.874,14.846,4.27,0.24,2.181,1.205,4.03,5.894,,,,
893,2002,Michael Jordan,60,2089,SF,WAS,0,0.465,35.751,22.917,-5.503,53.562,34.333,3.32,4.17,8.06,5.167,-0.85,3.294,,,,
937,2002,Scottie Pippen,62,1999,SF,POR,0,0.494,17.42,10.629,-2.6,38.488,23.484,0.4,-0.44,9.596,5.855,0.85,-2.689,,,,
947,2002,Allen Iverson,60,2624,SG,PHI,0,0.481,37.956,31.383,-3.926,51.844,42.867,3.74,4.55,6.672,5.517,-0.81,10.014,,,,
951,2002,Ray Allen,69,2526,SG,MIL,0,0.595,31.629,21.783,7.514,44.592,30.71,2.98,4.18,5.703,3.928,-1.2,2.429,,,,
959,2002,Steve Nash,82,2838,PG,DAL,0,0.592,26.343,17.878,7.179,52.004,35.293,2.18,3.18,11.393,7.732,-1.01,2.262,,,,
977,2002,Kobe Bryant,80,3065,SG,LAL,0,0.538,34.226,25.238,1.769,51.788,38.188,3.0,4.24,7.425,5.475,-1.24,-1.199,,,,
1495,2002,Tim Duncan,82,3332,PF,SAS,0,0.573,33.542,25.476,5.343,44.525,33.817,8.71,4.06,4.929,3.744,4.65,12.387,,,,
1503,2002,Tracy McGrady,76,2909,SG,ORL,0,0.532,34.46,25.632,1.166,50.911,37.868,4.33,4.28,7.076,5.263,0.05,12.806,,,,
1713,2002,Vince Carter,60,2386,SG,TOR,0,0.508,33.318,24.733,-1.236,44.971,33.383,3.22,3.13,5.366,3.983,0.09,4.664,,,,
1717,2002,Dirk Nowitzki,76,2891,C,DAL,0,0.597,31.492,23.408,7.657,39.033,29.013,4.23,4.0,3.293,2.447,0.23,8.708,,,,
1718,2002,Paul Pierce,82,3299,SG,BOS,0,0.566,33.668,26.146,4.564,43.232,33.573,4.51,3.4,4.099,3.183,1.11,12.068,,,,
2200,2002,Pau Gasol,82,3002,PF,MEM,0,0.565,25.022,17.573,4.466,33.478,23.512,1.74,1.46,3.872,2.72,0.29,9.954,,,,
2225,2002,Tony Parker,77,2271,PG,SAS,0,0.492,16.487,9.156,-2.755,33.863,18.805,-0.28,0.32,7.811,4.338,-0.6,-6.487,,,,
56,2003,Gary Payton,80,3210,PG,MIL,0,0.504,27.242,20.425,-1.536,51.701,38.762,1.11,2.52,11.054,8.288,-1.41,-1.671,,,,
252,2003,Karl Malone,81,2935,PF,UTA,0,0.527,30.271,20.58,0.779,44.398,30.185,1.89,2.26,6.882,4.679,-0.37,3.005,,,,
304,2003,John Stockton,82,2274,PG,UTA,0,0.563,20.741,10.78,4.386,51.549,26.793,4.66,2.75,14.758,7.671,1.91,6.275,,,,
397,2003,Reggie Miller,70,2121,SG,IND,0,0.585,21.496,12.6,6.61,30.417,17.829,0.22,1.89,4.143,2.429,-1.67,0.634,,,,
406,2003,Shaquille O'Neal,67,2534,C,LAL,0,0.603,37.335,27.478,8.355,46.867,34.493,7.05,4.21,4.178,3.075,2.85,12.29,,,,
467,2003,Jason Kidd,80,2989,PG,NJN,0,0.516,25.887,18.688,-0.257,51.948,37.5,5.29,2.58,12.312,8.888,2.71,11.911,,,,
708,2003,Kevin Garnett,82,3322,PF,MIN,0,0.552,29.477,22.963,3.25,46.149,35.951,8.15,5.04,7.749,6.037,3.11,24.046,,,,
764,2003,David Robinson,64,1672,C,SAS,0,0.525,17.489,8.531,0.624,21.717,10.594,3.59,-0.58,1.954,0.953,4.17,8.47,,,,
893,2003,Michael Jordan,82,3029,SF,WAS,0,0.489,29.396,20.0,-3.035,41.477,28.22,1.45,2.01,5.574,3.793,-0.56,2.656,,,,
937,2003,Scottie Pippen,64,1912,SF,POR,0,0.519,19.187,10.766,-0.042,36.591,20.531,1.72,0.36,7.937,4.453,1.36,9.328,,,,
947,2003,Allen Iverson,82,3484,SG,PHI,0,0.493,33.671,27.585,-2.556,47.782,39.146,3.66,4.2,6.758,5.537,-0.54,-1.554,,,,
951,2003,Ray Allen,76,2880,SG,SEA,0,0.56,31.983,22.539,4.075,46.378,32.684,3.38,4.3,6.236,4.395,-0.91,3.938,,,,
959,2003,Steve Nash,82,2712,PG,DAL,0,0.567,27.595,17.768,4.788,53.22,34.268,2.11,3.48,11.326,7.293,-1.38,5.198,,,,
977,2003,Kobe Bryant,82,3404,SG,LAL,0,0.544,37.413,30.012,2.456,53.603,43.0,3.82,5.33,7.312,5.866,-1.51,10.368,,,,
1495,2003,Tim Duncan,81,3183,PF,SAS,0,0.561,31.6,23.259,4.224,43.492,32.012,9.8,4.94,5.3,3.901,4.86,16.139,,,,
1503,2003,Tracy McGrady,75,2950,SG,ORL,0,0.564,41.507,32.093,4.474,57.769,44.667,4.74,5.38,7.087,5.48,-0.64,12.997,,,,
1713,2003,Vince Carter,43,1470,SG,TOR,0,0.528,31.844,20.558,0.854,43.408,28.023,3.78,3.3,5.151,3.326,0.48,8.723,,,,
1717,2003,Dirk Nowitzki,80,3121,PF,DAL,0,0.579,33.267,25.138,6.006,42.167,31.862,5.87,5.07,3.954,2.988,0.8,20.855,,,,
1718,2003,Paul Pierce,79,3097,SG,BOS,0,0.528,34.636,25.924,0.921,49.112,36.759,4.57,3.59,5.902,4.418,0.98,10.993,,,,
1938,2003,Manu Ginobili,69,1434,SG,SAS,0,0.551,19.126,7.609,3.163,30.31,12.058,1.95,0.78,5.027,2.0,1.17,-0.244,,,,
2200,2003,Pau Gasol,82,2946,PF,MEM,0,0.568,27.034,18.963,4.864,36.127,25.341,1.06,1.87,3.981,2.793,-0.82,3.47,,,,
2225,2003,Tony Parker,82,2780,PG,SAS,0,0.535,24.135,15.476,1.556,42.507,27.256,0.29,1.2,8.216,5.268,-0.91,8.467,,,,
2397,2003,Yao Ming,82,2382,C,HOU,0,0.567,24.742,13.463,4.791,31.69,17.244,1.18,-0.32,3.07,1.671,1.5,3.122,,,,
56,2004,Gary Payton,82,2836,PG,LAL,0,0.524,21.721,14.622,0.78,39.366,26.5,0.54,0.94,8.134,5.476,-0.4,5.985,,,,
252,2004,Karl Malone,42,1380,PF,LAL,0,0.549,20.271,13.19,3.281,32.894,21.405,0.62,-0.65,5.964,3.881,1.27,6.528,,,,
397,2004,Reggie Miller,80,2267,SG,IND,0,0.589,18.957,10.0,7.328,31.445,16.588,0.96,2.22,5.9,3.112,-1.26,9.989,,,,
406,2004,Shaquille O'Neal,67,2466,C,LAL,0,0.577,30.218,21.478,6.052,39.269,27.91,6.73,3.12,4.116,2.925,3.61,12.099,,,,
467,2004,Jason Kidd,67,2464,PG,NJN,0,0.475,22.09,15.463,-4.06,50.021,35.015,5.58,2.7,13.177,9.224,2.87,13.121,,,,
708,2004,Kevin Garnett,82,3235,PF,MIN,0,0.545,32.886,24.232,2.898,47.915,35.305,9.95,5.87,6.769,4.988,4.07,19.986,,,,
937,2004,Scottie Pippen,23,411,SF,CHI,0,0.444,16.979,5.913,-7.156,30.712,10.696,-1.57,-1.7,6.242,2.174,0.13,-17.847,,,,
947,2004,Allen Iverson,48,2047,SG,PHI,0,0.474,32.781,26.375,-4.217,50.777,40.854,2.87,3.38,8.389,6.75,-0.51,0.915,,,,
951,2004,Ray Allen,56,2157,SG,SEA,0,0.563,31.896,22.982,4.732,47.336,34.107,3.49,4.84,6.642,4.786,-1.35,5.356,,,,
959,2004,Steve Nash,78,2616,PG,DAL,0,0.58,21.899,14.462,6.377,51.64,34.103,1.17,2.63,13.337,8.808,-1.46,0.457,,,,
977,2004,Kobe Bryant,65,2447,SG,LAL,0,0.545,32.689,23.954,2.896,47.785,35.015,3.29,4.08,6.928,5.077,-0.79,6.322,,,,
1495,2004,Tim Duncan,69,2525,PF,SAS,0,0.533,33.054,22.29,1.655,43.262,29.174,9.75,4.45,4.578,3.087,5.3,9.329,,,,
1503,2004,Tracy McGrady,67,2688,SG,ORL,0,0.524,36.63,28.03,0.754,52.272,40.0,3.95,5.49,7.217,5.522,-1.55,4.606,,,,
1713,2004,Vince Carter,73,2787,SG,TOR,0,0.493,32.306,22.534,-2.303,47.997,33.479,3.82,3.55,6.834,4.767,0.27,10.4,,,,
1717,2004,Dirk Nowitzki,77,2920,C,DAL,0,0.558,29.51,21.818,4.192,37.52,27.74,4.85,4.24,3.636,2.688,0.62,8.452,,,,
1718,2004,Paul Pierce,80,3100,SG,BOS,0,0.512,30.357,22.95,-0.45,46.445,35.112,3.63,2.78,6.779,5.125,0.85,1.029,,,,
1938,2004,Manu Ginobili,77,2255,SG,SAS,0,0.529,23.229,12.818,1.309,38.291,21.13,3.58,1.88,6.849,3.779,1.69,2.399,,,,
2200,2004,Pau Gasol,78,2452,PF,MEM,0,0.537,29.197,17.705,2.094,38.816,23.538,1.54,2.06,4.186,2.538,-0.53,-1.001,,,,
2225,2004,Tony Parker,75,2579,PG,SAS,0,0.512,22.953,14.653,-0.415,42.314,27.013,0.8,1.52,8.584,5.48,-0.72,0.994,,,,
2397,2004,Yao Ming,82,2702,C,HOU,0,0.584,28.938,17.451,6.761,34.904,21.049,2.63,0.13,2.467,1.488,2.5,5.054,,,,
2544,2004,LeBron James,79,3127,SG,CLE,0,0.486,27.682,20.937,-3.01,44.134,33.38,0.66,1.3,7.782,5.886,-0.64,2.392,,,,
2546,2004,Carmelo Anthony,82,2991,SF,DEN,0,0.505,29.287,21.037,-1.096,37.606,27.012,-0.54,0.89,3.854,2.768,-1.42,-1.219,,,,
2547,2004,Chris Bosh,75,2517,C,TOR,0,0.509,18.697,11.48,-0.653,22.562,13.853,-0.39,-0.77,1.694,1.04,0.37,-1.119,,,,
2548,2004,Dwyane Wade,61,2136,PG,MIA,0,0.527,24.956,16.246,1.14,41.249,26.852,0.11,1.22,6.925,4.508,-1.12,3.889,,,,
56,2005,Gary Payton,77,2551,PG,BOS,0,0.535,17.453,11.338,0.609,38.225,24.831,0.26,1.01,9.376,6.091,-0.75,-0.571,,,,
397,2005,Reggie Miller,66,2112,SG,IND,0,0.571,25.123,14.758,4.212,33.634,19.758,-0.01,1.6,3.766,2.212,-1.61,9.53,,,,
406,2005,Shaquille O'Neal,73,2498,C,MIA,0,0.582,35.137,22.863,5.294,45.011,29.288,6.28,3.21,4.211,2.74,3.07,6.942,,,,
467,2005,Jason Kidd,66,2450,PG,NJN,0,0.5,20.509,14.409,-2.868,45.913,32.258,5.21,2.46,11.753,8.258,2.75,17.251,,,,
708,2005,Kevin Garnett,82,3121,PF,MIN,0,0.564,30.98,22.159,3.539,48.696,34.829,8.31,4.98,7.945,5.683,3.33,0.709,,,,
947,2005,Allen Iverson,75,3176,PG,PHI,0,0.526,36.229,30.693,-0.264,57.255,48.507,2.99,3.67,9.38,7.947,-0.67,4.001,,,,
951,2005,Ray Allen,78,3069,SG,SEA,0,0.546,32.731,23.936,1.729,44.618,32.628,3.14,5.23,5.067,3.705,-2.09,6.391,,,,
959,2005,Steve Nash,75,2569,PG,PHX,0,0.597,22.551,15.533,6.754,61.382,42.28,4.31,4.96,16.667,11.48,-0.65,14.509,,,,
977,2005,Kobe Bryant,66,2690,SG,LAL,0,0.557,35.465,27.561,2.786,53.987,41.955,3.09,4.88,7.76,6.03,-1.79,1.953,,,,
1495,2005,Tim Duncan,66,2206,PF,SAS,0,0.537,33.087,20.333,0.823,43.047,26.455,9.77,4.58,4.413,2.712,5.19,18.248,,,,
1503,2005,Tracy McGrady,78,3191,SF,HOU,0,0.525,33.726,25.679,-0.384,51.002,38.833,4.91,5.1,7.543,5.744,-0.19,0.909,,,,
1713,2005,Vince Carter,77,2838,"SF,SG",NJN,0,0.537,34.978,24.494,0.758,48.72,34.117,4.14,3.46,6.065,4.247,0.68,3.183,,,,
1717,2005,Dirk Nowitzki,78,3028,PF,DAL,0,0.573,34.552,26.051,4.353,43.598,32.872,6.71,5.09,4.081,3.077,1.62,13.695,,,,
1718,2005,Paul Pierce,82,2964,SF,BOS,0,0.573,30.516,21.573,4.42,44.006,31.11,4.41,3.54,6.003,4.244,0.87,7.569,,,,
1938,2005,Manu Ginobili,74,2201,SG,SAS,0,0.601,29.104,16.027,7.245,44.736,24.635,5.4,4.19,7.067,3.892,1.21,17.731,,,,
2200,2005,Pau Gasol,56,1783,PF,MEM,0,0.58,30.185,17.804,5.065,40.085,23.643,2.3,1.74,4.087,2.411,0.56,3.064,,,,
2225,2005,Tony Parker,80,2736,PG,SAS,0,0.527,26.139,16.638,-0.25,48.35,30.775,1.16,1.86,9.623,6.125,-0.7,3.273,,,,
2397,2005,Yao Ming,80,2460,C,HOU,0,0.611,31.614,18.312,8.193,34.678,20.088,3.13,0.53,1.316,0.762,2.6,-6.596,,,,
2544,2005,LeBron James,80,3384,SF,CLE,0,0.55,34.236,27.188,2.131,53.66,42.612,3.97,3.86,9.082,7.212,0.11,8.856,,,,
2546,2005,Carmelo Anthony,75,2610,SF,DEN,0,0.517,30.353,20.773,-1.206,38.184,26.133,0.48,1.46,3.779,2.587,-0.98,2.792,,,,
2547,2005,Chris Bosh,81,3014,PF,TOR,0,0.543,23.381,16.802,1.366,29.789,21.407,0.04,0.23,2.628,1.889,-0.19,5.288,,,,
2548,2005,Dwyane Wade,77,2978,SG,MIA,0,0.557,32.745,24.078,2.808,53.886,39.623,3.46,3.65,9.184,6.753,-0.19,-0.747,,,,
2730,2005,Dwight Howard,82,2679,PF,ORL,0,0.564,18.565,11.963,3.544,21.593,13.915,-0.24,0.14,1.419,0.915,-0.37,-1.524,,,,
56,2006,Gary Payton,81,2305,PG,MIA,0,0.516,14.273,7.728,-2.016,27.679,14.988,-1.05,-0.44,5.86,3.173,-0.61,-3.231,,,,
406,2006,Shaquille O'Neal,59,1806,C,MIA,0,0.589,34.192,20.017,5.332,42.038,24.61,4.96,1.87,3.272,1.915,3.08,5.599,,,,
467,2006,Jason Kidd,80,2976,PG,NJN,0,0.519,18.85,13.312,-1.654,44.407,31.362,4.87,2.32,11.894,8.4,2.55,12.201,,,,
708,2006,Kevin Garnett,76,2958,PF,MIN,0,0.584,30.391,21.789,4.798,42.375,30.382,7.47,4.09,5.652,4.053,3.38,11.21,,,,
947,2006,Allen Iverson,72,3103,PG,PHI,0,0.54,39.153,33.014,0.425,58.409,49.25,2.89,3.89,8.763,7.389,-1.0,7.874,,,,
951,2006,Ray Allen,78,3022,SG,SEA,0,0.585,33.917,25.064,4.91,44.934,33.205,3.53,5.74,4.962,3.667,-2.2,8.008,,,,
959,2006,Steve Nash,79,2796,PG,PHX,0,0.628,26.623,18.848,9.167,60.129,42.57,4.99,5.61,14.768,10.456,-0.62,9.325,,,,
977,2006,Kobe Bryant,80,3277,SG,LAL,0,0.555,45.124,35.4,1.934,58.413,45.825,3.68,5.38,5.736,4.5,-1.7,13.373,,,,
1495,2006,Tim Duncan,80,2784,PF,SAS,0,0.523,29.152,18.562,-1.348,40.361,25.7,8.87,3.65,4.967,3.162,5.23,5.999,,,,
1503,2006,Tracy McGrady,47,1745,SF,HOU,0,0.493,35.5,24.404,-4.317,51.284,35.255,3.48,3.53,6.964,4.787,-0.05,5.498,,,,
1713,2006,Vince Carter,79,2906,SG,NJN,0,0.532,34.802,24.19,-0.362,48.589,33.772,3.68,3.2,6.156,4.278,0.48,14.966,,,,
1717,2006,Dirk Nowitzki,81,3089,PF,DAL,0,0.585,37.896,26.556,4.87,46.741,32.753,7.21,5.8,3.982,2.79,1.41,9.998,,,,
1718,2006,Paul Pierce,79,3085,SF,BOS,0,0.575,35.444,26.785,3.893,49.615,37.494,4.48,4.61,6.281,4.747,-0.13,3.004,,,,
1938,2006,Manu Ginobili,65,1813,SG,SAS,0,0.584,28.981,15.092,4.796,44.815,23.338,4.97,3.73,6.942,3.615,1.23,7.355,,,,
2200,2006,Pau Gasol,80,3135,PF,MEM,0,0.55,28.896,20.35,1.363,45.154,31.8,3.01,2.01,6.585,4.638,1.0,4.442,,,,
2225,2006,Tony Parker,80,2715,PG,SAS,0,0.585,30.038,18.875,4.882,51.223,32.188,1.73,2.48,9.151,5.75,-0.74,8.024,,,,
2397,2006,Yao Ming,57,1949,C,HOU,0,0.594,35.062,22.298,5.773,40.579,25.807,2.41,-0.32,2.345,1.491,2.72,6.493,,,,
2544,2006,LeBron James,79,3361,SF,CLE,0,0.568,39.302,31.367,3.166,58.176,46.43,5.39,5.14,8.263,6.595,0.26,9.933,,,,
2546,2006,Carmelo Anthony,80,2941,SF,DEN,0,0.558,36.681,26.525,2.153,44.892,32.462,1.37,2.09,3.734,2.7,-0.71,-1.571,,,,
2547,2006,Chris Bosh,70,2751,C,TOR,0,0.584,30.213,22.457,4.795,38.439,28.571,1.83,2.09,3.479,2.586,-0.26,5.78,,,,
2548,2006,Dwyane Wade,75,2893,SG,MIA,0,0.573,36.81,27.2,3.685,57.867,42.76,5.14,4.62,9.076,6.707,0.53,15.846,,,,
2730,2006,Dwight Howard,82,3021,PF,ORL,0,0.562,23.313,15.756,2.623,28.275,19.11,0.76,1.18,2.256,1.524,-0.41,5.307,,,,
101108,2006,Chris Paul,78,2809,PG,NOK,0,0.537,23.7,16.128,0.11,48.625,33.09,2.44,2.0,11.511,7.833,0.44,-1.501,,,,
56,2007,Gary Payton,68,1503,PG,MIA,0,0.454,12.999,5.265,-8.729,29.63,12.0,-2.67,-1.84,7.298,2.956,-0.83,-9.155,,,,
406,2007,Shaquille O'Neal,40,1135,C,MIA,0,0.567,33.593,17.25,2.643,42.746,21.95,3.58,0.62,3.846,1.975,2.96,3.172,,,,
467,2007,Jason Kidd,80,2933,PG,NJN,0,0.508,18.494,13.012,-3.33,47.842,33.662,3.82,1.7,13.075,9.2,2.12,6.826,,,,
